78730_2011,121765.0,19.8,78730
78733_2011,119516.0,9.2,78733
78751_2011,37521.0,37.0,78751
78610_2011,82702.0,5.2,78610
78669_2011,85313.0,5.5,78669
78701_2011,63484.0,23.4,78701
78735_2011,74857.0,23.0,78735
78752_2011,33173.0,11.4,78752
78758_2011,42194.0,9.5,78758
78705_2011,11910.0,8.0,78705
78759_2011,65851.0,32.6,78759
78728_2011,46870.0,14.6,78728
78736_2011,85826.0,36.4,78736
78750_2011,79685.0,13.0,78750
78753_2011,40463.0,7.4,78753
78652_2011,79107.0,3.7,78652
78702_2011,35350.0,13.9,78702
78745_2011,48029.0,14.6,78745
78617_2011,44334.0,1.8,78617
78722_2011,44798.0,27.6,78722
78664_2011,62283.0,11.5,78664
78660_2011,72137.0,13.4,78660
78703_2011,85379.0,36.9,78703
78721_2011,30591.0,3.7,78721
78726_2011,66224.0,12.4,78726
78704_2011,47336.0,26.0,78704
78725_2011,53131.0,10.6,78725
78739_2011,132552.0,22.6,78739
78742_2011,21071.0,0.0,78742
78737_2011,115714.0,12.0,78737
78747_2011,56357.0,16.2,78747
78749_2011,79712.0,16.1,78749
78757_2011,54205.0,24.9,78757
78744_2011,39652.0,4.7,78744
78748_2011,66661.0,20.4,78748
78756_2011,59745.0,26.9,78756
78654_2011,43326.0,1.1,78654
78641_2011,67683.0,6.3,78641
78653_2011,55073.0,3.7,78653
78645_2011,68095.0,14.4,78645
78719_2011,39794.0,-666666666.0,78719
78723_2011,41839.0,11.4,78723
78738_2011,121522.0,7.2,78738
78724_2011,37736.0,1.5,78724
78727_2011,63952.0,24.8,78727
78621_2011,54212.0,9.6,78621
78731_2011,80192.0,31.7,78731
78734_2011,85233.0,1.8,78734
78741_2011,30021.0,11.1,78741
78746_2011,129188.0,19.9,78746
78613_2011,81819.0,7.2,78613
78615_2011,67917.0,0.0,78615
78754_2011,54087.0,17.0,78754
78712_2011,-666666666.0,0.0,78712
78732_2011,125171.0,0.0,78732
78705_2012,11917.0,8.0,78705
78759_2012,65672.0,36.1,78759
78728_2012,47405.0,13.3,78728
78736_2012,84375.0,28.1,78736
78750_2012,75958.0,15.2,78750
78753_2012,39593.0,8.6,78753
78617_2012,43957.0,2.3,78617
78722_2012,44917.0,32.9,78722
78664_2012,60442.0,7.9,78664
78660_2012,71507.0,10.1,78660
78703_2012,92606.0,37.8,78703
78721_2012,32131.0,15.7,78721
78726_2012,66096.0,22.8,78726
78704_2012,50248.0,26.1,78704
78725_2012,52313.0,17.3,78725
78739_2012,126525.0,17.7,78739
78742_2012,34076.0,0.0,78742
78652_2012,77985.0,9.0,78652
78702_2012,34734.0,11.1,78702
78745_2012,49243.0,16.4,78745
78641_2012,64442.0,4.4,78641
78653_2012,55398.0,2.7,78653
78645_2012,70981.0,8.1,78645
78719_2012,39500.0,0.0,78719
78723_2012,41869.0,12.0,78723
78738_2012,126233.0,16.5,78738
78724_2012,35711.0,1.4,78724
78727_2012,65687.0,18.1,78727
78744_2012,41056.0,3.1,78744
78748_2012,65889.0,17.6,78748
78756_2012,59685.0,45.5,78756
78654_2012,44962.0,0.8,78654
78730_2012,119573.0,23.2,78730
78733_2012,124831.0,9.8,78733
78751_2012,38624.0,37.3,78751
78610_2012,83536.0,7.8,78610
78669_2012,82244.0,17.6,78669
78701_2012,68152.0,26.9,78701
78735_2012,74571.0,18.7,78735
78752_2012,33271.0,14.5,78752
78758_2012,41792.0,8.4,78758
78737_2012,116250.0,15.5,78737
78747_2012,57904.0,14.0,78747
78749_2012,80956.0,20.5,78749
78757_2012,55156.0,25.9,78757
78621_2012,53307.0,7.3,78621
78731_2012,78265.0,31.7,78731
78734_2012,82904.0,3.4,78734
78741_2012,30183.0,10.0,78741
