Zip_Code_Year,Median_Household_Income,Percent_Bachelors_Higher,Zip_Code,Year
78730_2011,121765.0,19.8,78730,2011
78733_2011,119516.0,9.2,78733,2011
78751_2011,37521.0,37.0,78751,2011
78610_2011,82702.0,5.2,78610,2011
78669_2011,85313.0,5.5,78669,2011
78701_2011,63484.0,23.4,78701,2011
78735_2011,74857.0,23.0,78735,2011
78752_2011,33173.0,11.4,78752,2011
78758_2011,42194.0,9.5,78758,2011
78705_2011,11910.0,8.0,78705,2011
78759_2011,65851.0,32.6,78759,2011
78728_2011,46870.0,14.6,78728,2011
78736_2011,85826.0,36.4,78736,2011
78750_2011,79685.0,13.0,78750,2011
78753_2011,40463.0,7.4,78753,2011
78652_2011,79107.0,3.7,78652,2011
78702_2011,35350.0,13.9,78702,2011
78745_2011,48029.0,14.6,78745,2011
78617_2011,44334.0,1.8,78617,2011
78722_2011,44798.0,27.6,78722,2011
78664_2011,62283.0,11.5,78664,2011
78660_2011,72137.0,13.4,78660,2011
78703_2011,85379.0,36.9,78703,2011
78721_2011,30591.0,3.7,78721,2011
78726_2011,66224.0,12.4,78726,2011
78704_2011,47336.0,26.0,78704,2011
78725_2011,53131.0,10.6,78725,2011
78739_2011,132552.0,22.6,78739,2011
78742_2011,21071.0,0.0,78742,2011
78737_2011,115714.0,12.0,78737,2011
78747_2011,56357.0,16.2,78747,2011
78749_2011,79712.0,16.1,78749,2011
78757_2011,54205.0,24.9,78757,2011
78744_2011,39652.0,4.7,78744,2011
78748_2011,66661.0,20.4,78748,2011
78756_2011,59745.0,26.9,78756,2011
78654_2011,43326.0,1.1,78654,2011
78641_2011,67683.0,6.3,78641,2011
78653_2011,55073.0,3.7,78653,2011
78645_2011,68095.0,14.4,78645,2011
78719_2011,39794.0,-666666666.0,78719,2011
78723_2011,41839.0,11.4,78723,2011
78738_2011,121522.0,7.2,78738,2011
78724_2011,37736.0,1.5,78724,2011
78727_2011,63952.0,24.8,78727,2011
78621_2011,54212.0,9.6,78621,2011
78731_2011,80192.0,31.7,78731,2011
78734_2011,85233.0,1.8,78734,2011
78741_2011,30021.0,11.1,78741,2011
78746_2011,129188.0,19.9,78746,2011
78613_2011,81819.0,7.2,78613,2011
78615_2011,67917.0,0.0,78615,2011
78754_2011,54087.0,17.0,78754,2011
78712_2011,-666666666.0,0.0,78712,2011
78732_2011,125171.0,0.0,78732,2011
78705_2012,11917.0,8.0,78705,2012
78759_2012,65672.0,36.1,78759,2012
78728_2012,47405.0,13.3,78728,2012
78736_2012,84375.0,28.1,78736,2012
78750_2012,75958.0,15.2,78750,2012
78753_2012,39593.0,8.6,78753,2012
78617_2012,43957.0,2.3,78617,2012
78722_2012,44917.0,32.9,78722,2012
78664_2012,60442.0,7.9,78664,2012
